,UserOwner,AlbumName,SongReleaseDate,ArtistName,SongIsExplicit,SongName,PlaylistName,artist,title,lyric,negative,neutral,positive,compound
105,markettes99,Beyond Your Skin,2011-12-15,Hannah Atkins,False,Dream,Bandas sonoras,,,,,,,
106,markettes99,Transformers: The Score,2007-10-01,Steve Jablonsky,False,Autobots,Bandas sonoras,,,,,,,
107,markettes99,Bluebird,2017-09-22,Alexis Ffrench,False,Bluebird,Bandas sonoras,,,,,,,
108,markettes99,100 Greatest Film Themes,2012-02-20,The City of Prague Philharmonic Orchestra,False,"The Fellowship (From ""The Lord Of The Rings: The Fellowship Of The Ring"")",Bandas sonoras,,,,,,,
109,markettes99,"Fine Music, Vol. 1",2011-02-01,Anonymous ,False,"Preludes, Book 1: No. 8. La fille aux cheveux de lin (The Girl with the Flaxen Hair) (arr. for clarinet and orchestra)",Bandas sonoras,,,,,,,
110,markettes99,English Fantasy: Music for Clarinet and Orchestra,2016-08-12,Paul Reade,False,Suite from The Victorian Kitchen Garden: V. Summer,Bandas sonoras,,,,,,,
111,markettes99,"Camille Saint-Saëns, Carnaval des Animaux",2003-01-01,Camille Saint-Saëns,False,"Carnaval des Animaux, Aquarium",Bandas sonoras,,,,,,,
112,markettes99,The Crimson Wing: Mystery Of The Flamingos,2008-01-01,The Cinematic Orchestra,False,Arrival of the Birds,Bandas sonoras,,,,,,,
113,markettes99,1996,1996,Ryuichi Sakamoto,False,Merry Christmas Mr. Lawrence,Bandas sonoras,,,,,,,
114,markettes99,Community Favorites,2015-02-14,Waterflame,False,Glorious Morning,Bandas sonoras,,,,,,,
115,markettes99,Waves,2013-11-22,Mr. Probz,False,Waves,OldSchool,,,,,,,
116,markettes99,Giant (with Rag'n'Bone Man),2019-01-11,Calvin Harris,False,Giant (with Rag'n'Bone Man),OldSchool,,,,,,,
117,markettes99,The Days / Nights,2014-01-01,Avicii,False,The Nights,OldSchool,,,,,,,
118,markettes99,Human (Deluxe),2017-02-10,Rag'n'Bone Man,False,Human,OldSchool,,,,,,,
119,markettes99,Forever,2015-05-26,OneRepublic,False,If I Lose Myself - Alesso vs OneRepublic,OldSchool,,,,,,,
120,markettes99,High On Life (feat. Bonn),2018-07-29,Martin Garrix,False,High On Life (feat. Bonn),OldSchool,,,,,,,
121,markettes99,Evolve,2017-06-23,Imagine Dragons,False,Next To Me,OldSchool,,,,,,,
