UserOwner,AlbumName,SongReleaseDate,ArtistName,SongIsExplicit,SongId,SongName,PlaylistName
garciavicval,1995,2019-08-23,&ME,False,28JlSdcff5nVFY8KH9cL5z,1995,Keinemusik
garciavicval,2000,2021-01-22,Rampa,False,1aXWYqpdI601RhN7dhLSuR,2000,Keinemusik
garciavicval,Gilgamesh,2019-07-05,Simple Symmetry,False,70Md5Yb0yAM9YNYBA9A9SG,Enkidu - Adam Port's Tulum By Night Edit,Keinemusik
garciavicval,Connection (Remixes),2019-06-28,Télépopmusik,False,0gXQS59sTHLx5UVZuuHI3V,Connection - Reznik & Good Guy Mikesh Remix,Keinemusik
garciavicval,RINGOS DESERT,2018-09-07,ZHU,False,4y78bEIRTzNe2RbGAnX8zU,My Life,Chill
garciavicval,No Guidance (feat. Drake),2019-06-08,Chris Brown,True,7FEwp8BavoEVE3AnxJDchc,No Guidance (feat. Drake),Chill
garciavicval,Ignis,2018-11-09,Rompasso,False,6BT4H5z2UCDvyTxl2WfsQA,Ignis,Chill
garciavicval,Ninjawerks (Vol.1),2018-12-14,Kaskade,False,3aK1KXKA07ZQ0Nwzhf88ia,On Your Mind,Chill
garciavicval,Гюрза (Instrumental Version),2018-12-14,LIRANOV,False,2FScDBmNeVTX06qyyhzpJa,Гюрза (Instrumental Version),Chill
garciavicval,Shuniji,2018-11-07,C418,False,4eSAp3uzPwmUvyW84TZPgy,Shuniji,Chill
garciavicval,Angetenar,2018-10-12,Rompasso,False,1djh7DdNiRHdGFj5ils3BN,Angetenar,Chill
garciavicval,The Best Of 2016,2016-12-27,Rompasso,False,3Ut7wx9Jl6JxrlrDITEvO7,Isida,Chill
garciavicval,Holdin' On,2017-11-29,Pascal Junior,False,0MCZksPtemC2ZTS8yzKnrr,Holdin' On,Chill
garciavicval,Slaves / Alternate,2014-12-29,Raving George,False,2geUs0rO0AuqD2U5Kt1SS8,Slaves,Chill
garciavicval,Multicolor,2010-12-03,Kúra,False,4PmnCafj5tsr7U5PWyxiHP,Gógó - Lulu Rouge Remix,Chill
garciavicval,Sing It Back,2018-02-16,Ash,False,0afBI0cb2U0swk3Ufrh56t,Sing It Back,Chill
garciavicval,I Can't Be,2017-08-04,Hakan Akkus,False,1foM3WWlTMWsWw7LHv2kfd,I Can't Be - Radio Mix,Chill
garciavicval,Dreamer,2019-04-24,Sako Isoyan,False,1frso3n708H2DIvbLBO36M,Dreamer,Chill
garciavicval,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],2013-04-19,Daft Punk,False,2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,OT
garciavicval,Kala,2007-08-20,M.I.A.,False,1wgqttlPacpvmX5DKVboOa,Paper Planes,OT
garciavicval,Suavemente...Los Exitos,2008-10-14,Elvis Crespo,False,1YwPNemawMgGe6sF4U0FTE,Suavemente,OT
garciavicval,Modjo (Remastered),2001,Modjo,False,49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,OT
garciavicval,Make It Big,1984-10-23,Wham!,False,5hXEcqQhEjfZdbIZLO8mf2,Everything She Wants,OT
garciavicval,Hits Of The 90s,2002-05-24,N Joi,False,4bOif0qpk5D1GQYgfv5fAz,Anthem,OT
garciavicval,Dirty Vegas,2002-06-04,Dirty Vegas,False,0C2GT6MXWGRo7PIeeFq9zu,Days Go By,OT
garciavicval,Tear the Roots,2017-09-15,Kaleida,False,6J9kvynZrZnWRZOkyjkV3n,Think,OT
garciavicval,Detune EP,2016-02-26,Kaleida,False,4rkuG3aEz3vM5v9I74cXR8,Detune,OT
garciavicval,"How The Dogs Chill, Vol. 1",2018-09-21,Mall Grab,False,0QNkVh7nw7KkQSPkjharYW,Liverpool Street In The Rain,OT
garciavicval,Odyssey,2014-07-01,Home,False,1TuopWDIuDi1553081zvuU,Resonance,OT
garciavicval,Illumination,2010-08-20,Miami Horror,False,6C8xyofCEYnUxNoxqysWj0,Sometimes,OT
garciavicval,Homework,1997-01-17,Daft Punk,False,0MyY4WcN7DIfbSmp5yej5z,Da Funk,OT
garciavicval,John Wick (Original Motion Picture Soundtrack),2014-10-21,M86,False,4WhN1fiuQaSdnwGe1trMZM,In My Mind,OT
garciavicval,Naked Eyes (2018 Remaster),1983-01-01,Naked Eyes,False,6n4t5iMFjHmA3ErCOLT9O8,"Promises, Promises - US Single Version / 2018 Remaster",OT
garciavicval,Controlling Crowds (Parts I-III),2009-01-01,Archive,False,5zxJ3BZyd6BK2gX4b2RnB4,Bullets,OT
